Kind,Name,PercentLackOfCohesion
Private Class,"br.udesc.ceavi.pin.infosaude.view.frame.listener.ListenerMenuUsuarioComum.btn3AcitionListener",0
Private Class,"br.udesc.ceavi.pin.infosaude.view.frame.listener.ListenerMenuUsuarioComum.btn4AcitionListener",0
Private Class,"br.udesc.ceavi.pin.infosaude.view.frame.listener.ListenerMenuUsuarioComum.btnAcitionListener",0
Public Class,"br.udesc.ceavi.pin.infosaude.view.frame.listener.ListenerMenuUsuarioIntituicao",71
Private Class,"br.udesc.ceavi.pin.infosaude.view.frame.listener.ListenerMenuUsuarioIntituicao.btn0AcitionListener",0
Private Class,"br.udesc.ceavi.pin.infosaude.view.frame.listener.ListenerMenuUsuarioIntituicao.btn1AcitionListener",0
Private Class,"br.udesc.ceavi.pin.infosaude.view.frame.listener.ListenerMenuUsuarioIntituicao.btn2AcitionListener",0
Private Class,"br.udesc.ceavi.pin.infosaude.view.frame.listener.ListenerMenuUsuarioIntituicao.btn3AcitionListener",0
Private Class,"br.udesc.ceavi.pin.infosaude.view.frame.listener.ListenerMenuUsuarioIntituicao.btn4AcitionListener",0
Private Class,"br.udesc.ceavi.pin.infosaude.view.frame.listener.ListenerMenuUsuarioIntituicao.btn5AcitionListener",0
Public Class,"br.udesc.ceavi.pin.infosaude.view.frame.listener.ListenerMenuUsuarioProfissional",71
Private Class,"br.udesc.ceavi.pin.infosaude.view.frame.listener.ListenerMenuUsuarioProfissional.btn0AcitionListener",0
Private Class,"br.udesc.ceavi.pin.infosaude.view.frame.listener.ListenerMenuUsuarioProfissional.btn1AcitionListener",0
Private Class,"br.udesc.ceavi.pin.infosaude.view.frame.listener.ListenerMenuUsuarioProfissional.btn2AcitionListener",0
Private Class,"br.udesc.ceavi.pin.infosaude.view.frame.listener.ListenerMenuUsuarioProfissional.btn3AcitionListener",0
Private Class,"br.udesc.ceavi.pin.infosaude.view.frame.listener.ListenerMenuUsuarioProfissional.btn4AcitionListener",0
Private Class,"br.udesc.ceavi.pin.infosaude.view.frame.listener.ListenerMenuUsuarioProfissional.btn5AcitionListener",0
